count,replicate,ordering_fraction,dimension_estimate,longest_chain
1024,37,0.4943907319159335,2.0150302189993816,59
1024,38,0.4873457355816227,2.034115673908372,56
1024,39,0.5112700849217986,1.9702310522941728,58
1024,40,0.5042575452101662,1.9886875573454381,55
1024,41,0.4816161870723363,2.049812868198631,61
1024,42,0.4980449657869013,2.0052221470120717,58
1024,43,0.4979170485092864,2.0055644402737713,59
1024,44,0.4937358718230694,2.016794430297747,63
1024,45,0.5064550494868035,1.982880521575747,56
1024,46,0.5023788795210166,1.9936691581145558,59
1024,47,0.4986482771260997,2.003608760524859,60
1024,48,0.5099794568670577,1.9736116676521889,61
1024,49,0.4970941776637341,2.007768154522652,54
1024,50,0.5101646505376344,1.973126133186355,63
1024,51,0.5231186614125122,1.9395287930894713,63
1024,52,0.5117092039345064,1.9690824948401222,56
1024,53,0.5124137035679375,1.9672415555744045,62
1024,54,0.5109054252199413,1.9711854909983382,60
1024,55,0.5091928610703812,1.9756756084460163,61
1024,56,0.4830824627321603,2.0457805036449317,57
1024,57,0.5077934078690127,1.9793543277502774,64
1024,58,0.5017679313294232,1.9952926124237491,63
1024,59,0.5040799883919843,1.9891577020942222,61
1024,60,0.502439974340176,1.9935069052766603,60
1024,61,0.5090229411045943,1.9761218155191165,61
1024,62,0.5193670576735093,1.9491857931876662,61
1024,63,0.5151018756109482,1.9602367160292746,57
1024,64,0.4954331622678397,2.0122260029041943,61
